Date,Cases
2020-12-09T00:00:00Z,58291
2020-12-10T00:00:00Z,58297
2020-12-11T00:00:00Z,58305
2020-12-12T00:00:00Z,58313
2020-12-13T00:00:00Z,58320
2020-12-14T00:00:00Z,58325
2020-12-15T00:00:00Z,58341
2020-12-16T00:00:00Z,58353
2020-12-17T00:00:00Z,58377
2020-12-18T00:00:00Z,58386
2020-12-19T00:00:00Z,58403
2020-12-20T00:00:00Z,58422
2020-12-21T00:00:00Z,58432
2020-12-22T00:00:00Z,58461
2020-12-23T00:00:00Z,58482
2020-12-24T00:00:00Z,58495
2020-12-25T00:00:00Z,58509
2020-12-26T00:00:00Z,58519
2020-12-27T00:00:00Z,58524
2020-12-28T00:00:00Z,58529
2020-12-29T00:00:00Z,58542
2020-12-30T00:00:00Z,58569
2020-12-31T00:00:00Z,58599
2021-01-01T00:00:00Z,58629
2021-01-02T00:00:00Z,58662
2021-01-03T00:00:00Z,58697
2021-01-04T00:00:00Z,58721
2021-01-05T00:00:00Z,58749
2021-01-06T00:00:00Z,58780
2021-01-07T00:00:00Z,58813
2021-01-08T00:00:00Z,58836
2021-01-09T00:00:00Z,58865
2021-01-10T00:00:00Z,58907
2021-01-11T00:00:00Z,58929
2021-01-12T00:00:00Z,58946
2021-01-13T00:00:00Z,58984
2021-01-14T00:00:00Z,59029
2021-01-15T00:00:00Z,59059
2021-01-16T00:00:00Z,59083
2021-01-17T00:00:00Z,59113
2021-01-18T00:00:00Z,59127
2021-01-19T00:00:00Z,59157
2021-01-20T00:00:00Z,59197
2021-01-21T00:00:00Z,59235
2021-01-22T00:00:00Z,59250
2021-01-23T00:00:00Z,59260
2021-01-24T00:00:00Z,59308
2021-01-25T00:00:00Z,59352
2021-01-26T00:00:00Z,59366
2021-01-27T00:00:00Z,59391
2021-01-28T00:00:00Z,59425
2021-01-29T00:00:00Z,59449
2021-01-30T00:00:00Z,59507
2021-01-31T00:00:00Z,59536
2021-02-01T00:00:00Z,59565
2021-02-02T00:00:00Z,59584
2021-02-03T00:00:00Z,59602
2021-02-04T00:00:00Z,59624
2021-02-05T00:00:00Z,59649
2021-02-06T00:00:00Z,59675
2021-02-07T00:00:00Z,59699
2021-02-08T00:00:00Z,59721
2021-02-09T00:00:00Z,59732
2021-02-10T00:00:00Z,59747
2021-02-11T00:00:00Z,59759
2021-02-12T00:00:00Z,59777
2021-02-13T00:00:00Z,59786
2021-02-14T00:00:00Z,59800
2021-02-15T00:00:00Z,59809
2021-02-16T00:00:00Z,59810
2021-02-17T00:00:00Z,59821
2021-02-18T00:00:00Z,59832
2021-02-19T00:00:00Z,59846
2021-02-20T00:00:00Z,59858
2021-02-21T00:00:00Z,59869
2021-02-22T00:00:00Z,59879
2021-02-23T00:00:00Z,59883
2021-02-24T00:00:00Z,59890
2021-02-25T00:00:00Z,59900
2021-02-26T00:00:00Z,59913
2021-02-27T00:00:00Z,59925
2021-02-28T00:00:00Z,59936
2021-03-01T00:00:00Z,59948
2021-03-02T00:00:00Z,59956
2021-03-03T00:00:00Z,59979
2021-03-04T00:00:00Z,59998
2021-03-05T00:00:00Z,60007
2021-03-06T00:00:00Z,60020
2021-03-07T00:00:00Z,60033
2021-03-08T00:00:00Z,60046
2021-03-09T00:00:00Z,60052
2021-03-10T00:00:00Z,60062
2021-03-11T00:00:00Z,60070
2021-03-12T00:00:00Z,60080
2021-03-13T00:00:00Z,60088
2021-03-14T00:00:00Z,60105
2021-03-15T00:00:00Z,60117
2021-03-16T00:00:00Z,60128
2021-03-17T00:00:00Z,60137
2021-03-18T00:00:00Z,60152
2021-03-19T00:00:00Z,60167
2021-03-20T00:00:00Z,60184
2021-03-21T00:00:00Z,60196
2021-03-22T00:00:00Z,60208
2021-03-23T00:00:00Z,60221
2021-03-24T00:00:00Z,60236
2021-03-25T00:00:00Z,60253
2021-03-26T00:00:00Z,60265
2021-03-27T00:00:00Z,60288
2021-03-28T00:00:00Z,60300
2021-03-29T00:00:00Z,60321
2021-03-30T00:00:00Z,60347
2021-03-31T00:00:00Z,60381
2021-04-01T00:00:00Z,60407
2021-04-02T00:00:00Z,60450
2021-04-03T00:00:00Z,60468
2021-04-04T00:00:00Z,60478
2021-04-05T00:00:00Z,60495
2021-04-06T00:00:00Z,60519
2021-04-07T00:00:00Z,60554
2021-04-08T00:00:00Z,60575
2021-04-09T00:00:00Z,60601
2021-04-10T00:00:00Z,60633
2021-04-11T00:00:00Z,60653
2021-04-12T00:00:00Z,60678
2021-04-13T00:00:00Z,60692
2021-04-14T00:00:00Z,60719
2021-04-15T00:00:00Z,60735
2021-04-16T00:00:00Z,60769
2021-04-17T00:00:00Z,60808
2021-04-18T00:00:00Z,60831
2021-04-19T00:00:00Z,60851
2021-04-20T00:00:00Z,60865
2021-04-21T00:00:00Z,60880
2021-04-22T00:00:00Z,60904
2021-04-23T00:00:00Z,60943
2021-04-24T00:00:00Z,60966
2021-04-25T00:00:00Z,61006
2021-04-26T00:00:00Z,61051
2021-04-27T00:00:00Z,61063
2021-04-28T00:00:00Z,61086
2021-04-29T00:00:00Z,61121
2021-04-30T00:00:00Z,61145
2021-05-01T00:00:00Z,61179
2021-05-02T00:00:00Z,61218
2021-05-03T00:00:00Z,61235
2021-05-04T00:00:00Z,61252
2021-05-05T00:00:00Z,61268
2021-05-06T00:00:00Z,61286
2021-05-07T00:00:00Z,61311
2021-05-08T00:00:00Z,61331
2021-05-09T00:00:00Z,61359
2021-05-10T00:00:00Z,61378
2021-05-11T00:00:00Z,61403
2021-05-12T00:00:00Z,61419
2021-05-13T00:00:00Z,61453
2021-05-14T00:00:00Z,61505
2021-05-15T00:00:00Z,61536
2021-05-16T00:00:00Z,61585
2021-05-17T00:00:00Z,61613
2021-05-18T00:00:00Z,61651
2021-05-19T00:00:00Z,61689
2021-05-20T00:00:00Z,61730
2021-05-21T00:00:00Z,61770
2021-05-22T00:00:00Z,61799
2021-05-23T00:00:00Z,61824
2021-05-24T00:00:00Z,61860
2021-05-25T00:00:00Z,61890
2021-05-26T00:00:00Z,61916
2021-05-27T00:00:00Z,61940
2021-05-28T00:00:00Z,61970
2021-05-29T00:00:00Z,62003
2021-05-30T00:00:00Z,62028
2021-05-31T00:00:00Z,62051
2021-06-01T00:00:00Z,62069
2021-06-02T00:00:00Z,62100
2021-06-03T00:00:00Z,62145
2021-06-04T00:00:00Z,62158
2021-06-05T00:00:00Z,62176
2021-06-06T00:00:00Z,62196
2021-06-07T00:00:00Z,62210
2021-06-08T00:00:00Z,62219
2021-06-09T00:00:00Z,62223
2021-06-10T00:00:00Z,62236
2021-06-11T00:00:00Z,62245
2021-06-12T00:00:00Z,62263
2021-06-13T00:00:00Z,62276
2021-06-14T00:00:00Z,62301
2021-06-15T00:00:00Z,62315
2021-06-16T00:00:00Z,62339
2021-06-17T00:00:00Z,62366
2021-06-18T00:00:00Z,62382
2021-06-19T00:00:00Z,62403
2021-06-20T00:00:00Z,62414
2021-06-21T00:00:00Z,62430
2021-06-22T00:00:00Z,62448
2021-06-23T00:00:00Z,62470
2021-06-24T00:00:00Z,62493
2021-06-25T00:00:00Z,62513
2021-06-26T00:00:00Z,62530
2021-06-27T00:00:00Z,62544
2021-06-28T00:00:00Z,62553
2021-06-29T00:00:00Z,62563
2021-06-30T00:00:00Z,62579
2021-07-01T00:00:00Z,62589
2021-07-02T00:00:00Z,62599
2021-07-03T00:00:00Z,62606
2021-07-04T00:00:00Z,62617
